id,title,category,tool,content,tags,uses,rating
mkt-001,MKT-001 Kế hoạch Marketing 90 ngày,marketing,Claude,"Bạn là chuyên gia Marketing Strategy với 15 năm kinh nghiệm tăng trưởng doanh nghiệp SME tại Việt Nam.

Hãy xây dựng KẾ HOẠCH MARKETING 90 NGÀY hoàn chỉnh cho doanh nghiệp sau:

THÔNG TIN DOANH NGHIỆP:
- Tên/ngành: [TÊN DOANH NGHIỆP / NGÀNH]
- Sản phẩm/dịch vụ chính: [MÔ TẢ SẢN PHẨM]
- Target khách hàng: [ĐỐI TƯỢNG MỤC TIÊU]
- Ngân sách marketing/tháng: [NGÂN SÁCH]
- Mục tiêu doanh thu 90 ngày: [MỤC TIÊU]
- Điểm mạnh hiện tại: [ĐIỂM MẠNH]
- Thách thức lớn nhất: [THÁCH THỨC]

YÊU CẦU OUTPUT:

GIAI ĐOẠN 1 - THÁNG 1: NỀN TẢNG (Ngày 1-30)
- 3 ưu tiên chiến lược
- Kênh marketing trọng tâm
- Content plan tuần 1-4
- KPI cần đạt cuối tháng 1
- Budget allocation chi tiết

GIAI ĐOẠN 2 - THÁNG 2: TĂNG TỐC (Ngày 31-60)
- Chiến thuật scale dựa trên data tháng 1
- Campaign chạy trong tháng
- Automation cần thiết lập
- KPI cần đạt cuối tháng 2

GIAI ĐOẠN 3 - THÁNG 3: TỐI ƯU (Ngày 61-90)
- Tối ưu funnel dựa trên 60 ngày data
- Kênh/chiến thuật cần nhân rộng
- Chuẩn bị cho quý tiếp theo
- KPI tổng kết 90 ngày

DASHBOARD THEO DÕI:
Tạo bảng: Tuần | Mục tiêu leads | Mục tiêu doanh thu | Kênh trọng tâm | Action items

Format: Rõ ràng, có thể thực thi ngay, kèm tool/resource gợi ý cho từng task.","marketing,planning,90-day,strategy,SME",0,5
mkt-002,MKT-002 Content Pillar,marketing,Claude,"Bạn là Content Strategist chuyên xây dựng hệ thống nội dung bền vững cho thương hiệu.

Hãy thiết kế HỆ THỐNG CONTENT PILLAR cho:

THÔNG TIN THƯƠNG HIỆU:
- Thương hiệu: [TÊN THƯƠNG HIỆU]
- Lĩnh vực: [LĨNH VỰC]
- Đối tượng khách hàng: [MÔ TẢ ICP]
- Điều thương hiệu muốn được biết đến: [GIÁ TRỊ CỐT LÕI]
- Kênh phân phối nội dung: [FACEBOOK / YOUTUBE / TIKTOK / ZALO / EMAIL]
- Tone of voice: [CHUYÊN NGHIỆP / GẦN GŨI / TRUYỀN CẢM HỨNG]

OUTPUT CẦN TẠO:

PILLAR 1 - BRAND STORY
- Chủ đề: Câu chuyện thương hiệu, hành trình, con người
- Tần suất: X lần/tuần
- 5 ý tưởng nội dung cụ thể
- Hook template mẫu

PILLAR 2 - EDUCATION
- Chủ đề: Kiến thức, hướng dẫn, how-to
- Tần suất: X lần/tuần
- 5 ý tưởng nội dung cụ thể
- Hook template mẫu

PILLAR 3 - SOCIAL PROOF
- Chủ đề: Case study, testimonial, kết quả khách hàng
- Tần suất: X lần/tuần
- 5 ý tưởng nội dung cụ thể
- Hook template mẫu

PILLAR 4 - ENGAGEMENT
- Chủ đề: Tương tác, câu hỏi, thảo luận, poll
- Tần suất: X lần/tuần
- 5 ý tưởng nội dung cụ thể

PILLAR 5 - CONVERSION
- Chủ đề: Offer, CTA, promotion, sản phẩm
- Tần suất: X lần/tuần
- 5 ý tưởng không bị cảm giác bán hàng lộ liễu

CONTENT MIX: Tỉ lệ lý tưởng giữa 5 pillars theo từng kênh
CONTENT BANK: 30 ý tưởng cụ thể cho 30 ngày đầu","content,pillar,strategy,brand,topics",0,5
mkt-003,MKT-003 Lịch Content 30 ngày,marketing,Claude,"Bạn là Content Manager chuyên lập lịch nội dung cho thương hiệu Việt Nam.

Tạo LỊCH CONTENT 30 NGÀY hoàn chỉnh cho:

THÔNG TIN:
- Thương hiệu: [TÊN THƯƠNG HIỆU]
- Kênh đăng: [FACEBOOK / INSTAGRAM / TIKTOK / ZALO OA]
- Tần suất: [X bài/tuần]
- Sự kiện/ngày lễ trong tháng: [LIỆT KÊ]
- Chương trình đang chạy: [PROMOTION / EVENT]
- Tone: [PHONG CÁCH VIẾT]

LỊCH THEO TUẦN:
- Tuần 1: Education + Engagement (warm-up audience)
- Tuần 2: Education + Social Proof
- Tuần 3: Social Proof + Soft Conversion
- Tuần 4: Conversion + Teaser tháng sau

FORMAT BẢNG:
Ngày | Thứ | Pillar | Chủ đề | Format | Caption (100 chữ) | CTA | Hashtag

CHO MỖI BÀI:
- Gợi ý ảnh/video concept
- Caption dùng được ngay
- 5-10 hashtag phù hợp
- Thời gian đăng tối ưu

BONUS:
- 5 bài dự phòng khi thiếu nội dung
- Template caption tái sử dụng theo từng dạng bài","content-calendar,30-day,schedule,social-media",0,5
mkt-004,MKT-004 Facebook Viral Post,marketing,Claude,"Bạn là Facebook Copywriter chuyên tạo bài viết viral cho thị trường Việt Nam.

Viết BÀI FACEBOOK VIRAL cho:

THÔNG TIN:
- Thương hiệu/cá nhân: [TÊN]
- Chủ đề bài viết: [CHỦ ĐỀ]
- Mục tiêu: [REACH / ENGAGEMENT / CLICK / SALE]
- Đối tượng đọc: [MÔ TẢ]
- Offer/CTA muốn push: [CTA]

PHIÊN BẢN 1 - STORYTELLING
- Hook 2 dòng đầu gây tò mò/shock/đồng cảm
- Câu chuyện có arc rõ ràng: Setup > Conflict > Resolution
- Lesson rút ra và CTA tự nhiên
- Độ dài: 300-500 chữ

PHIÊN BẢN 2 - LIST POST
- Hook dạng số liệu hoặc list
- 5-7 điểm giá trị cao, mỗi điểm 1-2 câu súc tích
- CTA cuối - độ dài: 200-350 chữ

PHIÊN BẢN 3 - CONTROVERSIAL / OPINION
- Hook dạng quan điểm mạnh hoặc phản biện
- Lập luận logic thú vị - invite discussion
- CTA dạng hỏi ý kiến - độ dài: 200-300 chữ

CHO MỖI PHIÊN BẢN:
- Gợi ý ảnh thumbnail/concept
- 10 hashtag tối ưu
- Thời gian đăng lý tưởng
- Dự đoán loại tương tác (like/comment/share)","facebook,viral,post,engagement,copywriting",0,5
mkt-005,MKT-005 Livestream Script,marketing,Claude,"Bạn là Livestream Producer chuyên tối ưu doanh thu từ Facebook Live cho thị trường Việt Nam.

Tạo KỊCH BẢN LIVESTREAM đầy đủ cho:

THÔNG TIN:
- Thương hiệu: [TÊN]
- Sản phẩm bán trong live: [SẢN PHẨM + GIÁ]
- Thời lượng live: [X phút]
- Offer đặc biệt trong live: [OFFER]
- Host livestream: [MÔ TẢ NGƯỜI DẪN]

KỊCH BẢN THEO TIMELINE:

[0:00-5:00] MỞ ĐẦU - WARM UP
- Script chào hỏi, kết nối với người xem
- Câu hỏi warm-up để tăng comment
- Preview những gì sẽ xảy ra trong live
- Tạo kỳ vọng về offer sắp tiết lộ

[5:00-15:00] XÂY DỰNG GIÁ TRỊ
- Chia sẻ kiến thức/tip hữu ích liên quan sản phẩm
- Câu hỏi tương tác định kỳ mỗi 3 phút
- Social proof ngắn (testimonial/case study)

[15:00-25:00] GIỚI THIỆU SẢN PHẨM
- Demo/giới thiệu sản phẩm
- Pain point > Solution framework
- So sánh trước/sau khi dùng

[25:00-35:00] REVEAL OFFER + Q&A
- Tiết lộ giá gốc > Giá live
- Giải thích tại sao có offer này
- Xử lý objections phổ biến + Q&A trực tiếp

[35:00-45:00] CHỐT SALE + CLOSE
- Recap offer, create urgency (số lượng/thời gian giới hạn)
- Hướng dẫn đặt hàng + Thank you + CTA follow

CHECKLIST CHUẨN BỊ: Kỹ thuật | Nội dung | Tương tác

SCRIPT XỬ LÝ OBJECTION:
- Đắt quá: [trả lời]
- Để suy nghĩ đã: [trả lời]
- Mình chưa cần: [trả lời]","livestream,script,sales,facebook-live,engagement",0,5
mkt-006,MKT-006 Webinar Script,marketing,Claude,"Bạn là Webinar Strategist chuyên thiết kế webinar chuyển đổi cao cho thị trường B2B và B2C Việt Nam.

Tạo KỊCH BẢN WEBINAR hoàn chỉnh cho:

THÔNG TIN:
- Chủ đề webinar: [CHỦ ĐỀ]
- Đối tượng tham dự: [ICP]
- Thời lượng: [X phút]
- Offer cuối webinar: [SẢN PHẨM/KHÓA HỌC/DỊCH VỤ + GIÁ]
- Host: [TÊN + CREDENTIALS]

KỊCH BẢN 5 PHẦN:

PHẦN 1 - INTRO (10 phút)
- Script mở đầu tạo rapport và credibility stack
- Agenda webinar và big promise
- Quy tắc tham gia (tắt mic, đặt câu hỏi qua chat)

PHẦN 2 - CONTENT VALUE (30-40 phút)
- Framework/method chính (đặt tên độc đáo)
- 3-5 bước/pillar cốt lõi
- Mỗi phần: Concept > Example > Case study > Action step
- Điểm tương tác: Poll, câu hỏi, chat mỗi 10 phút

PHẦN 3 - BRIDGE TO OFFER (10 phút)
- Tóm tắt những gì đã học
- Transition tự nhiên sang sản phẩm

PHẦN 4 - PITCH (15 phút)
- Story về offer, what's inside (chi tiết từng module)
- Stack giá trị: Tổng giá trị vs. Giá thực tế
- Bonus + Guarantee + Urgency/Scarcity + CTA

PHẦN 5 - Q&A (10 phút)
- Xử lý câu hỏi + Remind CTA

EMAIL SEQUENCE KÈM THEO:
- Reminder 24h trước
- Reminder 1h trước
- Follow-up cho người không tham dự
- Replay cho người đã tham dự","webinar,script,online,education,sales",0,5
mkt-007,MKT-007 Landing Page,marketing,Claude,"Bạn là Landing Page Copywriter chuyên tối ưu conversion rate cho thị trường Việt Nam.

Viết LANDING PAGE hoàn chỉnh cho:

THÔNG TIN:
- Sản phẩm/dịch vụ: [TÊN + MÔ TẢ]
- Đối tượng mục tiêu: [ICP chi tiết]
- Offer chính: [GIÁ + ĐÃ BAO GỒM GÌ]
- Pain point lớn nhất: [PAIN]
- Kết quả họ muốn đạt: [OUTCOME]
- Deadline/urgency: [THỜI HẠN NẾU CÓ]

CÁC SECTIONS:

1. HERO SECTION
- Headline chính (dưới 10 chữ, kết quả rõ ràng)
- Sub-headline (1-2 câu mở rộng)
- CTA button text + social proof số ngay dưới CTA

2. PROBLEM SECTION
- Mô tả vấn đề (empathy) > Agitate > 3-5 bullet pain points

3. SOLUTION SECTION
- Introduce sản phẩm/dịch vụ
- Cơ chế hoạt động (The Mechanism) và điểm khác biệt

4. FEATURES & BENEFITS
- 6-8 tính năng chính + lợi ích tương ứng (Icon + Tiêu đề + mô tả)

5. SOCIAL PROOF
- 3 testimonials template (short/medium/long)
- Số liệu thực tế và logos/credentials

6. OFFER STACK
- Tên offer hấp dẫn, danh sách bao gồm + giá trị từng phần
- Tổng giá trị vs. Giá thực + Bonus + Deadline

7. FAQ
- 6-8 câu hỏi phổ biến xử lý objection

8. FINAL CTA
- Recap lợi ích + CTA mạnh + Risk reversal (guarantee) + P.S. urgency

Format HTML-ready với heading tags rõ ràng","landing-page,copywriting,conversion,sales-page",0,5
mkt-008,MKT-008 Lead Magnet,marketing,Claude,"Bạn là Growth Marketer chuyên thiết kế lead magnet tạo ra subscribers có giá trị cao.

Thiết kế HỆ THỐNG LEAD MAGNET cho:

THÔNG TIN:
- Ngành/lĩnh vực: [NGÀNH]
- Sản phẩm/dịch vụ chính muốn bán: [SẢN PHẨM]
- Đối tượng thu hút: [ICP]
- Vấn đề họ đang gặp: [PAIN POINTS]
- Kênh phân phối: [FACEBOOK / LANDING PAGE / ZALO]

PHẦN 1 - Ý TƯỞNG LEAD MAGNET
Đề xuất 5 loại phù hợp nhất:
Tên | Mô tả ngắn | Lý do hiệu quả (x5)
Chọn 1 tốt nhất và phát triển đầy đủ.

PHẦN 2 - TẠO LEAD MAGNET
- Tiêu đề hấp dẫn (3 phiên bản A/B test)
- Mô tả ngắn cho quảng cáo (50 chữ)
- Mục lục/outline đầy đủ từng phần
- Yêu cầu thiết kế (màu, font, style)

PHẦN 3 - OPT-IN PAGE
- Headline trang đăng ký
- 5 bullet benefits
- Form CTA text + Thank you page message

PHẦN 4 - DELIVERY SEQUENCE (4 emails)
- Email 1 (ngay): Giao lead magnet + warm welcome
- Email 2 (ngày 2): Quick win tip
- Email 3 (ngày 4): Case study
- Email 4 (ngày 7): Soft pitch sản phẩm chính

PHẦN 5 - QUẢNG BÁ
- 3 Facebook post templates để promote
- Ad copy ngắn (cho chạy quảng cáo)
- Caption Zalo OA","lead-magnet,freebie,list-building,opt-in,email",0,5
mkt-009,MKT-009 Email Marketing,marketing,Claude,"Bạn là Email Marketing Specialist với expertise xây dựng chuỗi email tỷ lệ mở cao và chuyển đổi tốt.

Viết CHUỖI 7 EMAIL hoàn chỉnh cho:

THÔNG TIN:
- Thương hiệu: [TÊN]
- Sản phẩm/dịch vụ: [MÔ TẢ]
- Loại chuỗi: [WELCOME / NURTURE / PROMOTION / WIN-BACK]
- Đối tượng nhận: [MÔ TẢ SEGMENT]
- Mục tiêu: [GOAL]

EMAIL 1 - WELCOME (Gửi ngay)
Subject line (3 phiên bản A/B) | Preview text | Body 200-300 chữ | CTA | P.S.

EMAIL 2 - STORY (Ngày 2)
Subject line | Câu chuyện thương hiệu/founder | Lesson + Value | Soft CTA

EMAIL 3 - VALUE (Ngày 4)
Subject line | Tip/hướng dẫn hữu ích | Mini case study | CTA

EMAIL 4 - SOCIAL PROOF (Ngày 6)
Subject line | Testimonial/success story | Kết quả cụ thể | CTA

EMAIL 5 - OBJECTION CRUSHER (Ngày 9)
Subject line | FAQ format xử lý 3 objections chính | CTA

EMAIL 6 - OFFER (Ngày 12)
Subject line gây urgency | Introduce offer | Giá trị + Bonus | Strong CTA + Deadline

EMAIL 7 - LAST CHANCE (Ngày 14)
Subject line scarcity | Recap offer ngắn gọn | Final CTA | Post-deadline plan

FORMAT CHUẨN: Từ | Đến | Subject | Preview | Body | CTA | Chữ ký","email,marketing,automation,sequence,newsletter",0,5
mkt-010,MKT-010 Zalo Marketing,marketing,Claude,"Bạn là Zalo Marketing Expert chuyên triển khai chiến lược Zalo OA hiệu quả cho doanh nghiệp Việt Nam.

Xây dựng CHIẾN LƯỢC ZALO MARKETING cho:

THÔNG TIN:
- Doanh nghiệp: [TÊN]
- Sản phẩm/dịch vụ: [MÔ TẢ]
- Số follower OA hiện tại: [SỐ LƯỢNG]
- Mục tiêu: [TĂNG FOLLOWER / DOANH THU / ENGAGEMENT]
- Ngân sách ZNS/tháng: [NGÂN SÁCH]

PHẦN 1 - CHIẾN LƯỢC OA
- Profile OA tối ưu (bio, cover, menu 3 cấp)
- Pinned post strategy + Tần suất đăng bài

PHẦN 2 - 15 BÀI MẪU OA
Mỗi bài: Tiêu đề | Loại | Nội dung 150-200 chữ | CTA
- 5 bài giáo dục/tips
- 3 bài social proof
- 3 bài sản phẩm
- 2 bài engagement (poll/quiz)
- 2 bài promotion

PHẦN 3 - ZNS TEMPLATES (5 loại)
- Welcome mới follow OA
- Chăm sóc định kỳ (theo ngành)
- Flash sale/promotion
- Nhắc lịch hẹn/sử dụng dịch vụ
- Birthday/anniversary

PHẦN 4 - ZALO BROADCAST
- Phân đoạn danh sách gợi ý
- Template broadcast theo từng segment
- Tần suất gửi không spam

PHẦN 5 - TĂNG FOLLOWER OA
- 5 chiến thuật organic + Checklist tối ưu điểm chạm
- Script nhân viên mời follow","zalo,zns,oa,messaging,vietnam",0,5
